Year,Process Technology,Plant Size,Plant Efficiency,Feedstock Input (TPA),Product Output (TPA),Direct GHG Emissions (TPA),Cost Mode,Real cumCash Flow,Nominal cumCash Flow,Constant$ Breakeven Price,Current$ Breakeven Price,Constant$ SC wCredit,Current$ SC wCredit,Project Finance,Carbon Valued,Feedstock Price ($/t),pri_directGDP,pri_bothGDP,All_directGDP,All_bothGDP,pri_directPAY,pri_bothPAY,All_directPAY,All_bothPAY,pri_directJOB,pri_bothJOB,All_directJOB,All_bothJOB,pri_directTAX,pri_bothTAX
2025,Steam_Crackn,Large,High,0.0,0.0,0.0,Cash Cost,0.0,0.0,2575.898687158205,1976.8483419263182,2571.7305255191,1973.6495269006248,Mixed,No,712.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,Steam_Crackn,Large,High,0.0,0.0,0.0,Cash Cost,0.0,0.0,2575.898687158205,2016.3853087648447,2571.7305255191,2013.1225174386373,Mixed,No,712.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,Steam_Crackn,Large,High,0.0,0.0,0.0,Cash Cost,0.0,0.0,2575.898687158205,2056.7130149401414,2571.7305255191,2053.38496778741,Mixed,No,712.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,Steam_Crackn,Large,High,631906.6147859921,487199.99999999994,510585599.9999999,Cash Cost,42956102.86546183,-189950545.0216018,2575.898687158205,2097.847275238945,2571.7305255191,2094.4526671431586,Mixed,No,712.9,14347188.096315872,22247140.80983912,14347188.096315872,22247140.80983912,4077676.5412366632,45880503.190967806,4077676.5412366632,45880503.190967806,684.0789632290862,1374.632743336289,684.0789632290862,1374.632743336289,39767362.12254689,51788077.242247485
2029,Steam_Crackn,Large,High,722178.9883268483,556800.0,583526400.0,Cash Cost,88756282.1357851,-386967764.65086234,2575.898687158205,2139.804220743723,2571.7305255191,2136.341720486021,Mixed,No,712.9,14347188.096315872,22247140.80983912,18936436.26906117,34418560.86573478,4077676.5412366632,45880503.190967806,45201779.87648846,162572789.4710868,684.0789632290862,1374.632743336289,979.1770873047241,2193.2519212488673,45370858.84501143,59085375.97167824
2030,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,142669534.61931682,-593103402.345471,2575.898687158205,2182.6003051585976,2571.7305255191,2179.0685548957417,Mixed,No,712.9,14347188.096315872,22247140.80983912,23641716.389513463,46897716.20250558,4077676.5412366632,45880503.190967806,87365641.71423987,282215457.3278386,684.0789632290862,1374.632743336289,1281.73630496526,3032.5686021223,53776103.92870824,70031324.06582437
2031,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,187603819.44260335,-779355301.2649075,2575.898687158205,2226.2523112617696,2571.7305255191,2222.649925993657,Mixed,No,712.9,14347188.096315872,22247140.80983912,28726644.604716703,60383758.9989864,4077676.5412366632,45880503.190967806,132931517.75821584,411511559.1438786,684.0789632290862,1374.632743336289,1608.7076782453685,3939.6060075071705,53776103.92870824,70031324.06582437
2032,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,224237430.4413979,-944467913.4447101,2575.898687158205,2270.7773574870052,2571.7305255191,2267.10292451353,Mixed,No,712.9,14347188.096315872,22247140.80983912,33427444.53322494,72851032.15025981,4077676.5412366632,45880503.190967806,175055232.74194375,531040307.72208065,684.0789632290862,1374.632743336289,1910.9788103222918,4778.123522393479,53776103.92870824,70031324.06582437
2033,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,253244579.9427278,-1087178227.346569,2575.898687158205,2316.1929046367454,2571.7305255191,2312.4449830038006,Mixed,No,712.9,14347188.096315872,22247140.80983912,37746427.59653625,84305665.9157758,4077676.5412366632,45880503.190967806,213757499.23815003,640860476.3187635,684.0789632290862,1374.632743336289,2188.698330366289,5548.533452652544,53776103.92870824,70031324.06582437
2034,Steam_Crackn,Large,High,857587.5486381323,661200.0,692937600.0,Cash Cost,275342990.0817745,-1206167945.639795,2575.898687158205,2362.5167627294804,2571.7305255191,2358.6938826638766,Mixed,No,712.9,14347188.096315872,22247140.80983912,41658953.517561704,94682310.3402794,4077676.5412366632,45880503.190967806,248817516.52674478,740345528.6997011,684.0789632290862,1374.632743336289,2440.2818177332947,6246.440524240601,53776103.92870824,70031324.06582437
